babyrates
Data Source,,,
,,,
Last Updated Date,,,
,,,
Country Name,2021,2021,
Aruba,3103184101.51354,1.18,
Africa Eastern and Southern,1086530704900.5,4.35470911162755,
Afghanistan,14266499429.8746,4.643,
Africa Western and Central,844927536437.833,4.97866247082482,
Angola,66505129989.243,5.304,
Albania,17930565118.8176,1.39,
Andorra,3325143693.28714,,
Arab World,2930480380718.33,3.14256520482342,
United Arab Emirates,415178792769.884,1.46,
Argentina,487902572164.348,1.885,
Armenia,13878908628.9378,1.575,
American Samoa,750000000,,
Antigua and Barbuda,1601366666.66667,1.58,
Australia,1559033756285.13,1.7,
Austria,479295362747.047,1.48,
Azerbaijan,54825411764.7059,1.52,
Burundi,2775798697.47186,5.078,
Belgium,600748812601.541,1.6,
Benin,17687623534.6665,4.973,
Burkina Faso,19642668879.7694,4.772,
Bangladesh,416264800549.026,1.981,
Bulgaria,84041493015.6618,1.58,
Bahrain,39288670212.766,1.811,
"Bahamas, The",11527600000,1.389,
Bosnia and Herzegovina,23649568276.8447,1.35,
Belarus,69673747131.87,1.483,
Belize,2424575179.3783,2.01,
Bermuda,7127200000,1.3,
Bolivia,40406111695.179,2.618,
Brazil,1649622821885.14,1.641,
Barbados,4923100000,1.633,
Brunei Darussalam,14006496617.4458,1.778,
Bhutan,2768003872.54065,1.413,
Botswana,18737066311.1597,2.791,
Central African Republic,2516498412.46384,5.978,
Canada,2001486745423.92,1.43,
Central Europe and the Baltics,1908002281033.51,1.55098526523508,
Switzerland,813408787222.499,1.52,
Channel Islands,11735662219.7772,1.457,
Chile,316581155648.871,1.537,
China,17820459508852.2,1.164,
Cote d'Ivoire,71811075955.078,4.418,
Cameroon,44993521774.066,4.463,
"Congo, Dem. Rep.",55328482783.5393,6.156,
"Congo, Rep.",14825708810.7046,4.171,
Colombia,318511813576.97,1.717,
Comoros,1296089479.45831,3.978,
Cabo Verde,1997866378.77119,1.896,
Costa Rica,64960725734.2362,1.533,
Caribbean small states,76123490342.5381,1.66452203748273,
Cuba,545217900000,1.442,
Curacao,2739594359.5908,1.38390804597701,
Cayman Islands,6028373513.49405,,
Cyprus,29482917678.8954,1.321,
Czechia,281791218507.1,1.83,
Germany,4278503934689.85,1.58,
Djibouti,3385825228.86997,2.804,
Dominica,555266666.666667,1.595,
Denmark,405687998852.691,1.72,
Dominican Republic,94243425938.3647,2.273,
Algeria,163472387986.768,2.889,
East Asia & Pacific (excluding high income),20839170495754.5,1.52044206107285,
Early-demographic dividend,12716982787446.9,2.35104771719098,
